id;name;path;created_by;creation_date;version;active;extension;type;size;in_workflow;user_id
17af7d61-4c35-49f9-ac91-4c09e4c6dc45;d'avec;smack en dehors de;mal au-dehors malade;2024-08-12T00:14:46;calme;true;dissimuler même si;cependant souvent dériver;du côté de quand;false;26120
25d318ad-9e10-4a8a-b9b7-cd9e2d93cd18;de sorte que reculer;à même ha;plouf si;2024-08-12T09:59:41;quoique;true;tic-tac afin de à seule fin de;incalculable;tantôt de façon à ce que à l'encontre de;true;16480
d7edf0b7-8120-43df-ab2f-6e9468b7fd67;afin que vouh rectorat;touchant corps enseignant;magnifique;2024-08-12T09:36:25;assez à seule fin de jusqu’à ce que;false;souvent de crainte que;concurrence miaou dring;par rapport à;true;11009
801c85ef-6202-4e49-a529-5d50874021fb;prout;quitte à aux alentours de derechef;étonner puis jusque;2024-08-11T22:31:03;jusqu’à ce que;true;fidèle équipe;commis orange;pisser aimable;true;29263
5c56354f-deed-4afb-ba83-e31bc6e991f2;revenir;au point que;infime;2024-08-12T06:37:41;circulaire;false;un peu;ouille;si;false;15184
c5aea777-bf82-4e55-84c8-cfa2af224dfa;tic-tac;délégation bzzz quoique;rédaction;2024-08-12T04:56:21;communauté étudiante;true;ouah groin groin oups;naître;maigre trouver;false;2778
f3df6e60-f962-4156-86ad-c7aab56561de;quitte à maintenant de façon que;sédentaire;gigantesque tant que;2024-08-11T12:15:47;décharger;true;mature remarquer miaou;raide puisque;fouiller vide du moment que;true;9826
7c68c3e8-9795-49d4-b201-6e47fa7bcc94;vroum;que tant à seule fin de;au prix de étant donné que membre de l’équipe;2024-08-11T12:31:13;ouah coin-coin porte-parole;true;à l'encontre de habiller;aïe;auparavant racheter replacer;true;30728
6ea252b7-b46c-4ceb-865b-57a63f81f0c7;derrière;environ bof;pourpre;2024-08-11T20:20:00;gens à même toc;true;jusqu’à ce que;avant que plus;parmi personnel fermer;true;28046
8b8cb33e-f59a-4b1e-bec2-6ad7adfcada2;horrible;patientèle lever zzzz;dessus puisque;2024-08-11T22:44:02;conseil d’administration à condition que;false;concilier;insipide;actionnaire pendant;true;705
