id;assign;display;event_type;message;notification_type;subject;recipiant_id
53dd1442-9d41-4f9c-9324-c1ee8023238d;groin groin par rapport à impromptu;bien que fabriquer;approximativement aménager;secouriste étant donné que;malgré disposer adepte;naguère administration;7b9ad9ee-c42e-4e80-ab44-7ab95ba81e73
767565a2-2942-4edd-b2d8-fc1c5ac22b88;snif;fourbe ici rose;tant que;en face de;circulaire population du Québec;demain marron;a5ae7da0-46d1-45c2-b701-e2bf814355ea
d55439df-7aba-4a22-8876-b80d4797fc4d;imprimer;du fait que prout exploiter;quasi;moins;à moins de large lorsque;devant euh;9fc89109-6329-4da6-838d-11f5d790d25d
1f33be9f-7a64-4725-91ed-f77fc930f9e1;vétuste efficace;d'après membre titulaire équipe;tandis que;miaou dès à défaut de ;incalculable;agréable près de fonctionnaire;35a68c78-b7f4-4b80-a905-2f6de232e430
ec76d19b-31c9-420e-95e0-719d821a2e52;sans que miaou quoique;franco badaboum;sans;spécialiste pour que;marron au-delà trop;même si;82e8b730-13f9-48a6-917b-7690c2ca7865
9181df05-c589-4d0b-a89b-7ecc4cfe2613;magnifique;lâche;novice;gens opérer;vivre;à raison de horrible marron;74469ae7-36cd-4caf-aa4e-562f3b316c4f
bb86896f-61b0-4a3a-af81-9d1610e09bbb;que de façon à ce que;diététiste lancer;parce que jusqu’à ce que;au-delà;sans que snif;du côté de au dépens de adversaire;ee3e1b77-17cd-4508-8df5-be7e1edbf607
e689c724-081b-487b-863a-ff7f37a73925;traîner psitt;sans que;lâche;partenaire en plus de;diplomate autour de;cocorico si;5524cb79-051e-4dc2-aee7-d07e35ead419
a78e178e-eaf9-4d18-bcf8-110177f23dda;atchoum secours;bof tant que;antagoniste diététiste hôte;oh hirsute;bientôt à bas de chef de cuisine;quitte à magenta;9325cd99-be10-4a2a-9345-6e3a43ae6553
01007026-38d1-4262-9675-46e8aebf44cd;triste direction chef;avare;autrement;ouch quoique cot cot;jeune recta de peur que;soulager;d084303e-0f13-48fb-8978-13ad25380e72
