id;type;path
5b2e9862-c3ab-4bcd-bdf8-fb896ab8f3e0;quoique en vérité fourbe;parlementaire
1b8cbeba-5030-4521-a495-649b65c68b1d;athlète autour vu que;camarade à travers
db066db3-0b39-4bce-88a6-39cb2d23ef0e;juriste;coin-coin habile plouf
4eae3997-6592-4912-b6b9-0dc17d3724f3;replacer chut;personnel professionnel de approfondir
927d394e-d531-4473-92cb-a41da733a47e;à bas de;hé accuser
6398e2c3-8112-4255-9726-9f5bc58c5d1e;mordre en dépit de;contre tantôt de façon à
04463e40-62ff-4194-a777-078f37b5f696;du moment que tic-tac;réjouir
9392c6e7-1554-4d32-9133-d9b217e62aa9;depuis plic;vlan sombre en dépit de
c3db39ac-788e-4157-a565-6ac89cd3de5e;ronron;sans que
0bfbd163-d416-4bdf-8eea-a5fdada8305e;proche de pin-pon pour que;police délégation malade
