id;name;description;file;file_content_type;created_by;created_date;updated_date
441cf9ab-b2ad-46b3-8764-3b974745e343;ensuite;vaste dorénavant suffisamment;../fake-data/blob/hipster.png;image/png;coin-coin suffisamment;2024-08-15T14:44:54;2024-08-16T09:40:33
4a726d7c-42c0-4d9f-818e-0566a7870ad0;psitt;insolite pendant à l'égard de;../fake-data/blob/hipster.png;image/png;de façon à ce que sans que;2024-08-16T05:34:51;2024-08-15T23:25:35
15908742-de10-4bfa-adcc-9560d1122112;vlan blablabla dissoudre;apparemment mélancolique;../fake-data/blob/hipster.png;image/png;débile;2024-08-16T06:28:52;2024-08-16T07:48:32
ffeffe7f-f143-4c87-8e8c-89d3a917ff08;grandement;tsoin-tsoin;../fake-data/blob/hipster.png;image/png;au dépens de;2024-08-16T09:15:26;2024-08-15T21:07:35
cd6286da-2aa1-4431-9ad3-27c0a39ad207;combler;orange affable;../fake-data/blob/hipster.png;image/png;vers;2024-08-16T03:48:58;2024-08-16T02:49:27
542d9a58-e56f-47ae-96d2-8fd75b64d4ce;personnel insolite boum;géométrique;../fake-data/blob/hipster.png;image/png;résoudre immense tout;2024-08-15T21:20:50;2024-08-15T23:54:33
5481a467-88f0-4a21-9199-d8935ef53d08;que novice généraliser;circulaire grrr bon;../fake-data/blob/hipster.png;image/png;vite magenta;2024-08-16T02:12:36;2024-08-15T16:42:04
4063969f-85ad-417f-8601-deb417f135da;serviable déduire;triste;../fake-data/blob/hipster.png;image/png;perdre commissionnaire intervenir;2024-08-16T01:02:30;2024-08-15T19:50:38
b3f8fc97-b03b-410c-87b2-a9b34759b9ac;hier dès que;même si environ subito;../fake-data/blob/hipster.png;image/png;afin de super badaboum;2024-08-16T08:35:05;2024-08-16T00:18:02
80a447ba-a8fb-4eb5-8849-0ba3e34d83f1;ferme;perplexe incognito fonder;../fake-data/blob/hipster.png;image/png;personnel alors selon;2024-08-16T03:43:27;2024-08-16T10:03:23
